Time,Temperature,Day
// Day 1
0,22.1,Day 1
1,22.3,Day 1
2,22.5,Day 1
3,22.7,Day 1
4,22.8,Day 1
5,23.0,Day 1
6,23.2,Day 1
7,23.3,Day 1
8,23.5,Day 1
9,23.7,Day 1
10,23.9,Day 1
11,24.1,Day 1
12,24.3,Day 1
13,24.5,Day 1
14,24.7,Day 1
15,24.9,Day 1
16,25.1,Day 1
17,25.3,Day 1
18,25.5,Day 1
19,25.7,Day 1
20,25.9,Day 1
21,26.1,Day 1
22,26.3,Day 1
23,26.5,Day 1
// Day 2
0,22.0,Day 2
1,22.2,Day 2
2,22.4,Day 2
3,22.6,Day 2
4,22.8,Day 2
5,23.0,Day 2
6,23.2,Day 2
7,23.4,Day 2
8,23.6,Day 2
9,23.8,Day 2
10,24.0,Day 2
11,24.2,Day 2
12,24.4,Day 2
13,24.6,Day 2
14,24.8,Day 2
15,25.0,Day 2
16,25.2,Day 2
17,25.4,Day 2
18,25.6,Day 2
19,25.8,Day 2
20,26.0,Day 2
21,26.2,Day 2
22,26.4,Day 2
23,26.6,Day 2
// Day 3
0,22.2,Day 3
1,22.4,Day 3
2,22.6,Day 3
3,22.8,Day 3
4,23.0,Day 3
5,23.2,Day 3
6,23.4,Day 3
7,23.6,Day 3
8,23.8,Day 3
9,24.0,Day 3
10,24.2,Day 3
11,24.4,Day 3
12,24.6,Day 3
13,24.8,Day 3
14,25.0,Day 3
15,25.2,Day 3
16,25.4,Day 3
17,25.6,Day 3
18,25.8,Day 3
19,26.0,Day 3
20,26.2,Day 3
21,26.4,Day 3
22,26.6,Day 3
23,26.8,Day 3
// Day 4
0,22.3,Day 4
1,22.5,Day 4
2,22.7,Day 4
3,22.9,Day 4
4,23.1,Day 4
5,23.3,Day 4
6,23.5,Day 4
7,23.7,Day 4
8,23.9,Day 4
9,24.1,Day 4
10,24.3,Day 4
11,24.5,Day 4
12,24.7,Day 4
13,24.9,Day 4
14,25.1,Day 4
15,25.3,Day 4
16,25.5,Day 4
17,25.7,Day 4
18,25.9,Day 4
19,26.1,Day 4
20,26.3,Day 4
21,26.5,Day 4
22,26.7,Day 4
23,26.9,Day 4
// Day 5
0,22.4,Day 5
1,22.6,Day 5
2,22.8,Day 5
3,23.0,Day 5
4,23.2,Day 5
5,23.4,Day 5
6,23.6,Day 5
7,23.8,Day 5
8,24.0,Day 5
9,24.2,Day 5
10,24.4,Day 5
11,24.6,Day 5
12,24.8,Day 5
13,25.0,Day 5
14,25.2,Day 5
15,25.4,Day 5
16,25.6,Day 5
17,25.8,Day 5
18,26.0,Day 5
19,26.2,Day 5
20,26.4,Day 5
21,26.6,Day 5
22,26.8,Day 5
23,27.0,Day 5
// Day 6
0,22.5,Day 6
1,22.7,Day 6
2,22.9,Day 6
3,23.1,Day 6
4,23.3,Day 6
5,23.5,Day 6
6,23.7,Day 6
7,23.9,Day 6
8,24.1,Day 6
9,24.3,Day 6
10,24.5,Day 6
11,24.7,Day 6
12,24.9,Day 6
13,25.1,Day 6
14,25.3,Day 6
15,25.5,Day 6
16,25.7,Day 6
17,25.9,Day 6
18,26.1,Day 6
19,26.3,Day 6
20,26.5,Day 6
21,26.7,Day 6
22,26.9,Day 6
23,27.1,Day 6
// Day 7
0,22.6,Day 7
1,22.8,Day 7
2,23.0,Day 7
3,23.2,Day 7
4,23.4,Day 7
5,23.6,Day 7
6,23.8,Day 7
7,24.0,Day 7
8,24.2,Day 7
9,24.4,Day 7
10,24.6,Day 7
11,24.8,Day 7
12,25.0,Day 7
13,25.2,Day 7
14,25.4,Day 7
15,25.6,Day 7
16,25.8,Day 7
17,26.0,Day 7
18,26.2,Day 7
19,26.4,Day 7
20,26.6,Day 7
21,26.8,Day 7
22,27.0,Day 7
23,27.2,Day 7
// Day 8
0,22.7,Day 8
1,22.9,Day 8
2,23.1,Day 8
3,23.3,Day 8
4,23.5,Day 8
5,23.7,Day 8
6,23.9,Day 8
7,24.1,Day 8
8,24.3,Day 8
9,24.5,Day 8
10,24.7,Day 8
11,24.9,Day 8
12,25.1,Day 8
13,25.3,Day 8
14,25.5,Day 8
15,25.7,Day 8
16,25.9,Day 8
17,26.1,Day 8
18,26.3,Day 8
19,26.5,Day 8
20,26.7,Day 8
21,26.9,Day 8
22,27.1,Day 8
23,27.3,Day 8
// Day 9
0,22.8,Day 9
1,23.0,Day 9
2,23.2,Day 9
3,23.4,Day 9
4,23.6,Day 9
5,23.8,Day 9
6,24.0,Day 9
7,24.2,Day 9
8,24.4,Day 9
9,24.6,Day 9
10,24.8,Day 9
11,25.0,Day 9
12,25.2,Day 9
13,25.4,Day 9
14,25.6,Day 9
15,25.8,Day 9
16,26.0,Day 9
17,26.2,Day 9
18,26.4,Day 9
19,26.6,Day 9
20,26.8,Day 9
21,27.0,Day 9
22,27.2,Day 9
23,27.4,Day 9
// Day 10
0,22.9,Day 10
1,23.1,Day 10
2,23.3,Day 10
3,23.5,Day 10
4,23.7,Day 10
5,23.9,Day 10
6,24.1,Day 10
7,24.3,Day 10
8,24.5,Day 10
9,24.7,Day 10
10,24.9,Day 10
11,25.1,Day 10
12,25.3,Day 10
13,25.5,Day 10
14,25.7,Day 10
15,25.9,Day 10
16,26.1,Day 10
17,26.3,Day 10
18,26.5,Day 10
19,26.7,Day 10
20,26.9,Day 10
21,27.1,Day 10
22,27.3,Day 10
23,27.5,Day 10
